Title,URL,Price,Description,Tags
"Small Worry Stone, Worry Stone, Meditation Stone, Anxiety Relief, Stress Relief",https://gonedotty.com.au/products/blue-small-art-stones, $25.95,"Feeling stressed? Imagine having a Worry Stone that fits perfectly into the palm of your hand, ready to soothe your nerves wherever you are. Keep one at home and another at the office to ensure you're always prepared for those challenging days. Create a captivating atmosphere by pairing your Worry Stone with our exquisite Tealight Candle Holders and an elegant incense holder, crafting a stunning set that enchants the senses. Each stone is meticulously had cast and lovingly hand painted, ensuring that no two designs are ever identical. Finished with two coats of high gloss varnish, they not only protect the exquisite artwork but also add a mesmerizing sheen that elevates their beauty. With dimensions of 7cm in diameter, these Worry Stones make for a truly unique and thoughtful gift that will be cherished forever.","anxiety relief, birthday gift ideas, christmas gift, christmas gift ideas, exclusive home decor, Gift for daughter, Gift for her, Gift for mum, gift for teacher, gift ideas, gifts, home decor, home decor ideas, worry stone, Worry Stones"
"Worry Stone, Heart Worry Stone, Stress Relief, Anxiety Relief",https://gonedotty.com.au/products/propagation-station-vase-bud-vase-plant-striking-station-1, $30.00,"Feeling overwhelmed by stress and anxiety? Discover the soothing power of Worry Stones, a natural method that has provided comfort for centuries. Just hold a stone in your hand, close your eyes, and focus on its weight and texture to experience a sense of calm. These stones are more than just stress relievers; each one is an individually crafted piece of art, hand-cast and hand-painted, making it truly unique. Whether you're at home or in the office, young or old, Worry Stones are the perfect companions, they also make thoughtful gifts for someone special in your life.","christmas gift, christmas gift ideas, Gift for daughter, Gift for her, Gift for mum, gift for teacher, gift ideas, home decor, new_items, propagation station, vase"
"Propagation Station, Vase, Bud Vase, Plant Striking Station",https://gonedotty.com.au/products/propagation-station-vase-bud-vase-plant-striking-station, $25.00,"Who can resist the allure of a free plant? Skip the expense of buying new greenery by propagating your own cuttings - nature's gift to the thrifty gardener! These stunning propagation stations, crafted and painted by hand, are more than just practical tools; they're works of art that will captivate any plant enthusiast. But who says they're just for plant lovers? Use this exquisite piece as a bud vase to add a touch of elegance to any room. It's guaranteed to leave a lasting impression. With dimensions of 11cmW x 11cmH x 3.5cmD, and available in either a square or oval shape, these versatile pieces will blend seamlessly into any decor.","christmas gift, christmas gift ideas, Gift for daughter, Gift for her, Gift for mum, gift for teacher, gift ideas, home decor, new_items, propagation station, vase"
"Acacia Wooden Serving Tray, Exclusive Home Decor, Wooden Serving Tray, Drink Serving Tray",https://gonedotty.com.au/products/acacia-wooden-charcuterie-board-exclusive-home-decor-wooden-serving-board-copy-1, $85.00,"These acacia wooden serving trays will take your entertaining to the next level. With each tray being a unique and exclusive piece, your family and friends will be envious. And they're perfect as a gift for Christmas, a wedding, engagement, birthday. The list is endless. Each tray is hand painted and is finished with a layer of resin which not only gives a glass-like finish, but also protects the artwork. Each tray measures 5cmH x 40cm diameter which is a generous size for all your entertaining needs. Please protect the resin finish by not cutting on it or using sharp objects as this will damage the finish. To clean, simply wipe with a damp cloth. Because each tray is a unique piece, colours and patterns may b=vary slightly to those shown in photos.","christmas gift ideas, drink serving tray, gift, Gift for daughter, Gift for her, Gift for mum, gift ideas, home decor, round tray, serving tray, wedding gifts, wooden home decor"
"Acacia Wooden Cake Stand, Cupcake Stand, Exclusive Home Decor, Wooden Serving Tray, Food Serving Stand",https://gonedotty.com.au/products/acacia-wooden-serving-paddle-charcuterie-board-exclusive-home-decor-wooden-serving-tray-food-serving-tray-copy, $60.00,"Transform your gatherings into unforgettable experiences with our one-of-a-kind acacia cake stands! Perfect for any occasion featuring cakes, slices, cupcakes, these are hand-painted with unique patterns, ensuring that no two are alike. Imagine gifting something so, special for Christmas, an engagement, a wedding, or a birthday - truly a gift that stands out. Measuring 11.5cmH x 30cm in diameter, each cake stand is a masterpiece finished with a food-safe resin to preserve its stunning design. The rich acacia wood is treated with vegetable oil, which not only enhances its beauty but also provides protection. A word of caution: avoid using the resin area as a cutting board, as it might scratch the glass-like finish. For cleaning, simply wash with warm, soapy water, towel dry, and let it air dry completely before storing. As each cake stand is hand painted, please be aware that there may be slight variations in colour and design. Elevate your entertaining game with these exquisite cake stands!","acacia home decor, cake stand, christmas gift ideas, cupcake stand, exclusive home decor, Gift for daughter, Gift for her, Gift for mum, gift ideas, home decor, wedding gifts, wooden home decor, wooden serving paddle"
"Acacia Wooden Serving Paddle, Charcuterie Board, Exclusive Home Decor, Wooden Serving Tray, Food Serving Tray",https://gonedotty.com.au/products/acacia-wooden-charcuterie-board-exclusive-home-decor-wooden-serving-board-copy, $60.00,"Transform your gatherings into unforgettable experiences with our one-of-a-kind charcuterie serving paddles! Perfect for any occasion featuring finger foods these paddles are hand-painted with unique patterns, ensuring that no two are alike. Imagine gifting something so, special for Christmas, an engagement, a wedding, or a birthday - truly a gift that stands out. Measuring 40cmL x 30cmW, each paddle is a masterpiece finished with a food-safe resin to preserve its stunning design. The rich acacia wood is treated with vegetable oil, which not only enhances its beauty but also provides protection. A word of caution: avoid using the resin area as a cutting board, as it might scratch the glass-like finish. For cleaning, simply wash with warm, soapy water, towel dry, and let it air dry completely before storing. Elevate your entertaining game with these exquisite charcuterie paddles!","acacia home decor, charcuterie board, christmas gift ideas, exclusive home decor, Gift for daughter, Gift for her, Gift for mum, gift ideas, home decor, wedding gifts, wooden home decor, wooden serving paddle"
"Acacia Wooden Charcuterie Board, Exclusive Home Decor, Wooden Serving Board",https://gonedotty.com.au/products/acacia-wooden-charcuterie-board-exclusive-home-decor-wooden-serving-board, $150.00,"Transform your home into an exotic retreat with our stunning, exclusive acacia charcuterie board. This unique piece isn't just a serving board, it's a conversation starter. At a spacious 57cmL x 2cmH x 27cmW, it provides plenty of room for your favourite nibbles and treats. Each board features a vibrant hand painted design sealed with food-safe resin, while the acacia wood's natural beauty is preserved with a layer of vegetable oil, making it both functional and a work of art. Imagine gifting this extraordinary board for Christmas, engagement, a wedding, or a birthday. Each one is truly one-of-a-kind, ensuring your gift is as special as the occasion. Keep in mind, to maintain its beauty, avoid cutting on the resin surface. Cleaning is a breeze - just rinse with warm, soapy water, dry with a towel and let it air dry before storing. As each board is individually crafted with care, colours and designs may vary slightly, offering you a piece that's uniquely yours.","acacia home decor, charcuterie board, christmas gift ideas, exclusive home decor, Gift for daughter, Gift for her, Gift for mum, gift ideas, home decor, wedding gifts, wooden home decor"
"Grinch Tote Bag, Christmas Gift Bag, Tote Bag",https://gonedotty.com.au/products/grinch-tote-bag-christmas-gift-bag-tote-bag-1, $14.95,"Rediscover the joy of Christmas with these delightful totes! 🎄 Whether you're a fan of The Grinch know someone who's misplaced their holiday cheer, these totes are the ultimate festive companion. Not only do they add a touch of whimsy to your gift-giving as a Christmas gift bag, but they’re also reusable and washable, offering both convenience and sustainability.","christmas, christmas gift, funny gifts, funny mugs, funny quotes, Grinch mug, Grinch tote"
"Grinch Tote Bag, Christmas Gift Bag, Tote Bag",https://gonedotty.com.au/products/grinch-tote-bag-christmas-gift-bag-tote-bag, $14.95,"Rediscover the joy of Christmas with these delightful totes! 🎄 Whether you're a fan of The Grinch know someone who's misplaced their holiday cheer, these totes are the ultimate festive companion. Not only do they add a touch of whimsy to your gift-giving as a Christmas gift bag, but they’re also reusable and washable, offering both convenience and sustainability.","christmas, christmas gift, funny gifts, funny mugs, funny quotes, Grinch mug, Grinch tote"
"Grinch Christmas Mug, Ceramic Mug, Mug, Funny Mug, Humorous Mug, Coffee Mug, Gift Idea",https://gonedotty.com.au/products/grinch-christmas-mug-ceramic-mug-mug-funny-mug-humorous-mug-coffee-mug-gift-idea-1, $15.95,"🎄 Ever find yourself or someone you know channeling their inner Grinch? 😄 These delightful mugs are the perfect Christmas gift for Grinch enthusiasts everywhere! With a charming handmade design and an 11oz capacity, they're both dishwasher and microwave safe, making them as practical as they are fun. Get ready to make this holiday season extra special! 🎁☕","christmas gift ideas, Coffee, coffee mugs, decor, funny gifts, funny mugs, funny quotes, gift ideas, Grinch mug, home decor, Humorous gifts, personalised"
